# CMD: CUDA_VISIBLE_DEVICES=2 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=1 python NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
[2026-05-25 03:45:05,966] Epoch 0 - Training loss: --------   Test Accuracy: 0.1189
[2026-05-25 03:46:21,807] Epoch 1 - Training loss: 2.302988   Test Accuracy: 0.1142
[2026-05-25 03:47:34,135] Epoch 2 - Training loss: 2.302913   Test Accuracy: 0.1147
[2026-05-25 03:48:45,369] Epoch 3 - Training loss: 2.302684   Test Accuracy: 0.1135
[2026-05-25 03:49:57,824] Epoch 4 - Training loss: 2.302630   Test Accuracy: 0.1135
[2026-05-25 03:51:06,677] Epoch 5 - Training loss: 2.302655   Test Accuracy: 0.1136
[2026-05-25 03:52:25,495] Epoch 6 - Training loss: 2.302398   Test Accuracy: 0.1135
[2026-05-25 03:53:36,001] Epoch 7 - Training loss: 2.302811   Test Accuracy: 0.0982
[2026-05-25 03:54:42,444] Epoch 8 - Training loss: 2.302679   Test Accuracy: 0.1032
[2026-05-25 03:55:57,289] Epoch 9 - Training loss: 2.302559   Test Accuracy: 0.1135
[2026-05-25 03:57:13,248] Epoch 10 - Training loss: 2.302679   Test Accuracy: 0.1135
[2026-05-25 03:58:27,579] Epoch 11 - Training loss: 2.302543   Test Accuracy: 0.1028
[2026-05-25 03:59:47,925] Epoch 12 - Training loss: 2.302535   Test Accuracy: 0.1028
[2026-05-25 04:01:09,197] Epoch 13 - Training loss: 2.302550   Test Accuracy: 0.1010
[2026-05-25 04:02:32,609] Epoch 14 - Training loss: 2.302585   Test Accuracy: 0.1135
[2026-05-25 04:03:39,439] Epoch 15 - Training loss: 2.302647   Test Accuracy: 0.1135
[2026-05-25 04:04:54,136] Epoch 16 - Training loss: 2.302563   Test Accuracy: 0.1135
[2026-05-25 04:06:02,551] Epoch 17 - Training loss: 2.302647   Test Accuracy: 0.1135
[2026-05-25 04:07:00,728] Epoch 18 - Training loss: 2.302619   Test Accuracy: 0.1135
[2026-05-25 04:08:01,783] Epoch 19 - Training loss: 2.302535   Test Accuracy: 0.1010
[2026-05-25 04:09:08,341] Epoch 20 - Training loss: 2.302435   Test Accuracy: 0.1135
[2026-05-25 04:10:25,321] Epoch 21 - Training loss: 2.302753   Test Accuracy: 0.1135
[2026-05-25 04:11:42,984] Epoch 22 - Training loss: 2.302547   Test Accuracy: 0.0974
[2026-05-25 04:12:56,056] Epoch 23 - Training loss: 2.302568   Test Accuracy: 0.1135
[2026-05-25 04:14:01,595] Epoch 24 - Training loss: 2.302390   Test Accuracy: 0.1135
[2026-05-25 04:15:08,208] Epoch 25 - Training loss: 2.302698   Test Accuracy: 0.1135
[2026-05-25 04:16:17,325] Epoch 26 - Training loss: 2.302727   Test Accuracy: 0.1087
[2026-05-25 04:17:23,706] Epoch 27 - Training loss: 2.302572   Test Accuracy: 0.1135
[2026-05-25 04:18:25,104] Epoch 28 - Training loss: 2.302652   Test Accuracy: 0.1123
[2026-05-25 04:19:21,904] Epoch 29 - Training loss: 2.302701   Test Accuracy: 0.0958
[2026-05-25 04:20:11,980] Epoch 30 - Training loss: 2.302697   Test Accuracy: 0.1028
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-CNN/Pow-gamma=8.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779648299.user.536836.0

Training Time (s) = 2110.2767984867096
