# CMD: CUDA_VISIBLE_DEVICES=2 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=2 python NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 0.5 --res-state 14
[2026-05-24 02:48:31,291] Epoch 0 - Training loss: --------   Test Accuracy: 0.1267
[2026-05-24 02:49:37,646] Epoch 1 - Training loss: 1.650538   Test Accuracy: 0.3249
[2026-05-24 02:50:51,130] Epoch 2 - Training loss: 2.064981   Test Accuracy: 0.2602
[2026-05-24 02:51:57,441] Epoch 3 - Training loss: 2.234422   Test Accuracy: 0.1987
[2026-05-24 02:53:14,869] Epoch 4 - Training loss: 2.317590   Test Accuracy: 0.1028
[2026-05-24 02:54:28,333] Epoch 5 - Training loss: 2.316771   Test Accuracy: 0.1135
[2026-05-24 02:55:40,156] Epoch 6 - Training loss: 2.316503   Test Accuracy: 0.1135
[2026-05-24 02:56:44,240] Epoch 7 - Training loss: 2.315822   Test Accuracy: 0.1028
[2026-05-24 02:57:49,746] Epoch 8 - Training loss: 2.314549   Test Accuracy: 0.1032
[2026-05-24 02:58:54,452] Epoch 9 - Training loss: 2.317487   Test Accuracy: 0.0974
[2026-05-24 03:00:00,917] Epoch 10 - Training loss: 2.315143   Test Accuracy: 0.0958
[2026-05-24 03:01:07,069] Epoch 11 - Training loss: 2.316486   Test Accuracy: 0.1135
[2026-05-24 03:02:06,361] Epoch 12 - Training loss: 2.315067   Test Accuracy: 0.1019
[2026-05-24 03:03:09,975] Epoch 13 - Training loss: 2.316133   Test Accuracy: 0.0974
[2026-05-24 03:04:26,476] Epoch 14 - Training loss: 2.316671   Test Accuracy: 0.1009
[2026-05-24 03:05:32,114] Epoch 15 - Training loss: 2.314014   Test Accuracy: 0.1028
[2026-05-24 03:06:39,679] Epoch 16 - Training loss: 2.313553   Test Accuracy: 0.1028
[2026-05-24 03:07:46,212] Epoch 17 - Training loss: 2.314796   Test Accuracy: 0.1032
[2026-05-24 03:08:54,290] Epoch 18 - Training loss: 2.317413   Test Accuracy: 0.1135
[2026-05-24 03:10:00,259] Epoch 19 - Training loss: 2.316510   Test Accuracy: 0.1135
[2026-05-24 03:11:06,089] Epoch 20 - Training loss: 2.313419   Test Accuracy: 0.1010
[2026-05-24 03:12:12,072] Epoch 21 - Training loss: 2.313435   Test Accuracy: 0.1032
[2026-05-24 03:13:17,327] Epoch 22 - Training loss: 2.317551   Test Accuracy: 0.1135
[2026-05-24 03:14:22,452] Epoch 23 - Training loss: 2.314089   Test Accuracy: 0.1009
[2026-05-24 03:15:28,002] Epoch 24 - Training loss: 2.316527   Test Accuracy: 0.0974
[2026-05-24 03:16:34,054] Epoch 25 - Training loss: 2.314904   Test Accuracy: 0.1135
[2026-05-24 03:17:42,268] Epoch 26 - Training loss: 2.313566   Test Accuracy: 0.1135
[2026-05-24 03:18:48,415] Epoch 27 - Training loss: 2.315587   Test Accuracy: 0.1135
[2026-05-24 03:19:57,186] Epoch 28 - Training loss: 2.314106   Test Accuracy: 0.1028
[2026-05-24 03:21:13,324] Epoch 29 - Training loss: 2.317909   Test Accuracy: 0.1135
[2026-05-24 03:22:22,515] Epoch 30 - Training loss: 2.316576   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 0.5 --res-state 14
Using Device:  cuda:0
Logging to file: runs/MNIST-CNN/Pow-gamma=0.5-state=14/Analog SGD-tau=0.7/events.out.tfevents.1779558506.user.400239.0

Training Time (s) = 2034.0874903202057
