# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=3 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 4.0 --res-state 140
[2026-05-24 18:15:58,766] Epoch 0 - Training loss: --------   Test Accuracy: 0.0913
[2026-05-24 18:16:44,212] Epoch 1 - Training loss: 2.303015   Test Accuracy: 0.1135
[2026-05-24 18:17:28,730] Epoch 2 - Training loss: 2.302522   Test Accuracy: 0.1135
[2026-05-24 18:18:13,894] Epoch 3 - Training loss: 2.302365   Test Accuracy: 0.1135
[2026-05-24 18:19:01,510] Epoch 4 - Training loss: 2.302187   Test Accuracy: 0.1010
[2026-05-24 18:19:35,800] Epoch 5 - Training loss: 2.302266   Test Accuracy: 0.1135
[2026-05-24 18:20:19,887] Epoch 6 - Training loss: 2.302445   Test Accuracy: 0.1028
[2026-05-24 18:21:03,855] Epoch 7 - Training loss: 2.302334   Test Accuracy: 0.1135
[2026-05-24 18:21:52,424] Epoch 8 - Training loss: 2.302466   Test Accuracy: 0.1135
[2026-05-24 18:22:36,866] Epoch 9 - Training loss: 2.302189   Test Accuracy: 0.1135
[2026-05-24 18:23:21,510] Epoch 10 - Training loss: 2.302478   Test Accuracy: 0.1028
[2026-05-24 18:24:05,560] Epoch 11 - Training loss: 2.302495   Test Accuracy: 0.1135
[2026-05-24 18:24:52,245] Epoch 12 - Training loss: 2.302376   Test Accuracy: 0.1033
[2026-05-24 18:25:44,718] Epoch 13 - Training loss: 2.302529   Test Accuracy: 0.1135
[2026-05-24 18:26:31,911] Epoch 14 - Training loss: 2.302507   Test Accuracy: 0.1010
[2026-05-24 18:27:22,670] Epoch 15 - Training loss: 2.302075   Test Accuracy: 0.1135
[2026-05-24 18:28:02,424] Epoch 16 - Training loss: 2.301804   Test Accuracy: 0.1135
[2026-05-24 18:28:50,120] Epoch 17 - Training loss: 2.301885   Test Accuracy: 0.1135
[2026-05-24 18:29:34,659] Epoch 18 - Training loss: 2.301744   Test Accuracy: 0.1009
[2026-05-24 18:30:20,668] Epoch 19 - Training loss: 2.301881   Test Accuracy: 0.1135
[2026-05-24 18:31:05,246] Epoch 20 - Training loss: 2.301908   Test Accuracy: 0.1135
[2026-05-24 18:31:51,293] Epoch 21 - Training loss: 2.301822   Test Accuracy: 0.1135
[2026-05-24 18:32:39,527] Epoch 22 - Training loss: 2.301811   Test Accuracy: 0.1135
[2026-05-24 18:33:25,565] Epoch 23 - Training loss: 2.301807   Test Accuracy: 0.1135
[2026-05-24 18:34:06,361] Epoch 24 - Training loss: 2.301871   Test Accuracy: 0.1135
[2026-05-24 18:34:51,305] Epoch 25 - Training loss: 2.301805   Test Accuracy: 0.1019
[2026-05-24 18:35:38,098] Epoch 26 - Training loss: 2.301835   Test Accuracy: 0.1135
[2026-05-24 18:36:23,397] Epoch 27 - Training loss: 2.301847   Test Accuracy: 0.1135
[2026-05-24 18:37:07,005] Epoch 28 - Training loss: 2.301729   Test Accuracy: 0.1135
[2026-05-24 18:37:52,089] Epoch 29 - Training loss: 2.301826   Test Accuracy: 0.1135
[2026-05-24 18:38:36,334] Epoch 30 - Training loss: 2.301858   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 4.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=4.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779614153.user.481769.0

Training Time (s) = 1360.729211807251
