# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=3 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 2.0 --res-state 140
[2026-05-20 13:13:03,860] Epoch 0 - Training loss: --------   Test Accuracy: 0.0940
[2026-05-20 13:13:51,892] Epoch 1 - Training loss: 2.303258   Test Accuracy: 0.1135
[2026-05-20 13:14:40,600] Epoch 2 - Training loss: 2.302634   Test Accuracy: 0.1135
[2026-05-20 13:15:24,868] Epoch 3 - Training loss: 2.302508   Test Accuracy: 0.1135
[2026-05-20 13:16:12,513] Epoch 4 - Training loss: 2.302291   Test Accuracy: 0.1010
[2026-05-20 13:16:56,260] Epoch 5 - Training loss: 2.302306   Test Accuracy: 0.1135
[2026-05-20 13:17:45,408] Epoch 6 - Training loss: 2.302462   Test Accuracy: 0.1028
[2026-05-20 13:18:38,160] Epoch 7 - Training loss: 2.302380   Test Accuracy: 0.0958
[2026-05-20 13:19:28,128] Epoch 8 - Training loss: 2.302562   Test Accuracy: 0.1135
[2026-05-20 13:20:16,235] Epoch 9 - Training loss: 2.302361   Test Accuracy: 0.1135
[2026-05-20 13:20:59,246] Epoch 10 - Training loss: 2.302581   Test Accuracy: 0.1028
[2026-05-20 13:21:42,871] Epoch 11 - Training loss: 2.302545   Test Accuracy: 0.1135
[2026-05-20 13:22:35,160] Epoch 12 - Training loss: 2.302492   Test Accuracy: 0.1033
[2026-05-20 13:23:23,261] Epoch 13 - Training loss: 2.302612   Test Accuracy: 0.1135
[2026-05-20 13:24:08,835] Epoch 14 - Training loss: 2.302651   Test Accuracy: 0.1011
[2026-05-20 13:24:52,977] Epoch 15 - Training loss: 2.302186   Test Accuracy: 0.1135
[2026-05-20 13:25:41,212] Epoch 16 - Training loss: 2.301892   Test Accuracy: 0.1135
[2026-05-20 13:26:28,794] Epoch 17 - Training loss: 2.301932   Test Accuracy: 0.1135
[2026-05-20 13:27:12,387] Epoch 18 - Training loss: 2.301788   Test Accuracy: 0.1009
[2026-05-20 13:27:55,325] Epoch 19 - Training loss: 2.301948   Test Accuracy: 0.1135
[2026-05-20 13:28:42,046] Epoch 20 - Training loss: 2.301940   Test Accuracy: 0.1135
[2026-05-20 13:29:29,461] Epoch 21 - Training loss: 2.301831   Test Accuracy: 0.1135
[2026-05-20 13:30:14,571] Epoch 22 - Training loss: 2.301827   Test Accuracy: 0.1135
[2026-05-20 13:31:03,171] Epoch 23 - Training loss: 2.301807   Test Accuracy: 0.1123
[2026-05-20 13:31:51,775] Epoch 24 - Training loss: 2.301888   Test Accuracy: 0.1135
[2026-05-20 13:32:50,259] Epoch 25 - Training loss: 2.301811   Test Accuracy: 0.1135
[2026-05-20 13:33:39,331] Epoch 26 - Training loss: 2.301891   Test Accuracy: 0.1135
[2026-05-20 13:34:27,960] Epoch 27 - Training loss: 2.301871   Test Accuracy: 0.1135
[2026-05-20 13:35:11,856] Epoch 28 - Training loss: 2.301750   Test Accuracy: 0.1135
[2026-05-20 13:36:02,259] Epoch 29 - Training loss: 2.301913   Test Accuracy: 0.1135
[2026-05-20 13:36:49,117] Epoch 30 - Training loss: 2.301895   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 2.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=2.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779250378.user.2308018.0

Training Time (s) = 1428.4658727645874
