# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=1 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 4.0 --res-state 140
[2026-05-20 13:36:11,382] Epoch 0 - Training loss: --------   Test Accuracy: 0.1015
[2026-05-20 13:36:58,908] Epoch 1 - Training loss: 2.303162   Test Accuracy: 0.0982
[2026-05-20 13:37:46,739] Epoch 2 - Training loss: 2.302385   Test Accuracy: 0.1135
[2026-05-20 13:38:26,782] Epoch 3 - Training loss: 2.302407   Test Accuracy: 0.1135
[2026-05-20 13:39:06,705] Epoch 4 - Training loss: 2.302403   Test Accuracy: 0.1135
[2026-05-20 13:39:43,287] Epoch 5 - Training loss: 2.302376   Test Accuracy: 0.1135
[2026-05-20 13:40:27,510] Epoch 6 - Training loss: 2.302477   Test Accuracy: 0.1135
[2026-05-20 13:41:18,907] Epoch 7 - Training loss: 2.302145   Test Accuracy: 0.1135
[2026-05-20 13:42:04,107] Epoch 8 - Training loss: 2.302381   Test Accuracy: 0.1135
[2026-05-20 13:42:50,512] Epoch 9 - Training loss: 2.302471   Test Accuracy: 0.1135
[2026-05-20 13:43:39,112] Epoch 10 - Training loss: 2.302373   Test Accuracy: 0.1135
[2026-05-20 13:44:27,109] Epoch 11 - Training loss: 2.302373   Test Accuracy: 0.1135
[2026-05-20 13:45:15,026] Epoch 12 - Training loss: 2.302401   Test Accuracy: 0.1120
[2026-05-20 13:45:59,180] Epoch 13 - Training loss: 2.302409   Test Accuracy: 0.1135
[2026-05-20 13:46:50,192] Epoch 14 - Training loss: 2.302505   Test Accuracy: 0.1135
[2026-05-20 13:47:35,530] Epoch 15 - Training loss: 2.302327   Test Accuracy: 0.1135
[2026-05-20 13:48:21,189] Epoch 16 - Training loss: 2.301821   Test Accuracy: 0.1135
[2026-05-20 13:49:07,243] Epoch 17 - Training loss: 2.301870   Test Accuracy: 0.1135
[2026-05-20 13:49:59,816] Epoch 18 - Training loss: 2.301823   Test Accuracy: 0.1135
[2026-05-20 13:50:45,241] Epoch 19 - Training loss: 2.301747   Test Accuracy: 0.1135
[2026-05-20 13:51:37,149] Epoch 20 - Training loss: 2.301805   Test Accuracy: 0.1135
[2026-05-20 13:52:17,944] Epoch 21 - Training loss: 2.301823   Test Accuracy: 0.1135
[2026-05-20 13:53:07,353] Epoch 22 - Training loss: 2.301749   Test Accuracy: 0.1135
[2026-05-20 13:53:51,499] Epoch 23 - Training loss: 2.301785   Test Accuracy: 0.1135
[2026-05-20 13:54:38,113] Epoch 24 - Training loss: 2.301784   Test Accuracy: 0.1135
[2026-05-20 13:55:21,508] Epoch 25 - Training loss: 2.301754   Test Accuracy: 0.1135
[2026-05-20 13:56:08,734] Epoch 26 - Training loss: 2.301757   Test Accuracy: 0.1135
[2026-05-20 13:56:53,726] Epoch 27 - Training loss: 2.301692   Test Accuracy: 0.1010
[2026-05-20 13:57:37,826] Epoch 28 - Training loss: 2.301766   Test Accuracy: 0.1135
[2026-05-20 13:58:21,451] Epoch 29 - Training loss: 2.301848   Test Accuracy: 0.1135
[2026-05-20 13:59:08,486] Epoch 30 - Training loss: 2.301790   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 4.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=4.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779251766.user.2310245.0

Training Time (s) = 1380.3632040023804
