# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=2 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 4.0 --res-state 140
[2026-05-20 13:36:59,059] Epoch 0 - Training loss: --------   Test Accuracy: 0.1008
[2026-05-20 13:37:48,958] Epoch 1 - Training loss: 2.303374   Test Accuracy: 0.1135
[2026-05-20 13:38:39,052] Epoch 2 - Training loss: 2.302504   Test Accuracy: 0.1135
[2026-05-20 13:39:23,945] Epoch 3 - Training loss: 2.302481   Test Accuracy: 0.1135
[2026-05-20 13:40:11,491] Epoch 4 - Training loss: 2.302336   Test Accuracy: 0.1135
[2026-05-20 13:40:56,309] Epoch 5 - Training loss: 2.302414   Test Accuracy: 0.1135
[2026-05-20 13:41:43,488] Epoch 6 - Training loss: 2.302536   Test Accuracy: 0.1135
[2026-05-20 13:42:24,896] Epoch 7 - Training loss: 2.302319   Test Accuracy: 0.1135
[2026-05-20 13:43:11,500] Epoch 8 - Training loss: 2.302470   Test Accuracy: 0.1135
[2026-05-20 13:43:57,725] Epoch 9 - Training loss: 2.302484   Test Accuracy: 0.1135
[2026-05-20 13:44:48,913] Epoch 10 - Training loss: 2.302471   Test Accuracy: 0.1135
[2026-05-20 13:45:33,264] Epoch 11 - Training loss: 2.302451   Test Accuracy: 0.1135
[2026-05-20 13:46:17,630] Epoch 12 - Training loss: 2.302451   Test Accuracy: 0.1135
[2026-05-20 13:46:53,270] Epoch 13 - Training loss: 2.302339   Test Accuracy: 0.1135
[2026-05-20 13:47:32,443] Epoch 14 - Training loss: 2.302331   Test Accuracy: 0.1135
[2026-05-20 13:48:13,937] Epoch 15 - Training loss: 2.302377   Test Accuracy: 0.1010
[2026-05-20 13:48:58,184] Epoch 16 - Training loss: 2.301809   Test Accuracy: 0.1028
[2026-05-20 13:49:46,542] Epoch 17 - Training loss: 2.301783   Test Accuracy: 0.1135
[2026-05-20 13:50:37,888] Epoch 18 - Training loss: 2.301846   Test Accuracy: 0.1135
[2026-05-20 13:51:23,270] Epoch 19 - Training loss: 2.301876   Test Accuracy: 0.1135
[2026-05-20 13:52:16,621] Epoch 20 - Training loss: 2.301800   Test Accuracy: 0.1135
[2026-05-20 13:53:01,428] Epoch 21 - Training loss: 2.301675   Test Accuracy: 0.1135
[2026-05-20 13:53:50,143] Epoch 22 - Training loss: 2.301783   Test Accuracy: 0.1028
[2026-05-20 13:54:34,553] Epoch 23 - Training loss: 2.301775   Test Accuracy: 0.1010
[2026-05-20 13:55:26,493] Epoch 24 - Training loss: 2.301816   Test Accuracy: 0.1135
[2026-05-20 13:56:10,706] Epoch 25 - Training loss: 2.301770   Test Accuracy: 0.1135
[2026-05-20 13:56:55,664] Epoch 26 - Training loss: 2.301828   Test Accuracy: 0.1135
[2026-05-20 13:57:45,540] Epoch 27 - Training loss: 2.301754   Test Accuracy: 0.1135
[2026-05-20 13:58:32,835] Epoch 28 - Training loss: 2.301785   Test Accuracy: 0.1135
[2026-05-20 13:59:16,292] Epoch 29 - Training loss: 2.301836   Test Accuracy: 0.1135
[2026-05-20 14:00:04,475] Epoch 30 - Training loss: 2.301827   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 4.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=4.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779251814.user.2310524.0

Training Time (s) = 1388.3613481521606
