# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=1 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
[2026-05-20 14:00:14,895] Epoch 0 - Training loss: --------   Test Accuracy: 0.1012
[2026-05-20 14:01:03,356] Epoch 1 - Training loss: 2.303141   Test Accuracy: 0.0982
[2026-05-20 14:01:51,753] Epoch 2 - Training loss: 2.302375   Test Accuracy: 0.1135
[2026-05-20 14:02:44,070] Epoch 3 - Training loss: 2.302382   Test Accuracy: 0.1135
[2026-05-20 14:03:37,080] Epoch 4 - Training loss: 2.302384   Test Accuracy: 0.1135
[2026-05-20 14:04:25,684] Epoch 5 - Training loss: 2.302361   Test Accuracy: 0.1010
[2026-05-20 14:05:13,645] Epoch 6 - Training loss: 2.302450   Test Accuracy: 0.1135
[2026-05-20 14:06:05,345] Epoch 7 - Training loss: 2.302102   Test Accuracy: 0.1135
[2026-05-20 14:06:49,840] Epoch 8 - Training loss: 2.302366   Test Accuracy: 0.1135
[2026-05-20 14:07:38,292] Epoch 9 - Training loss: 2.302424   Test Accuracy: 0.1135
[2026-05-20 14:08:23,860] Epoch 10 - Training loss: 2.302348   Test Accuracy: 0.1135
[2026-05-20 14:09:08,184] Epoch 11 - Training loss: 2.302341   Test Accuracy: 0.1076
[2026-05-20 14:09:59,403] Epoch 12 - Training loss: 2.302374   Test Accuracy: 0.0974
[2026-05-20 14:10:51,225] Epoch 13 - Training loss: 2.302352   Test Accuracy: 0.1135
[2026-05-20 14:11:42,915] Epoch 14 - Training loss: 2.302478   Test Accuracy: 0.1135
[2026-05-20 14:12:32,449] Epoch 15 - Training loss: 2.302288   Test Accuracy: 0.1135
[2026-05-20 14:13:24,633] Epoch 16 - Training loss: 2.301809   Test Accuracy: 0.1135
[2026-05-20 14:14:08,303] Epoch 17 - Training loss: 2.301851   Test Accuracy: 0.1135
[2026-05-20 14:14:56,102] Epoch 18 - Training loss: 2.301815   Test Accuracy: 0.1135
[2026-05-20 14:15:39,925] Epoch 19 - Training loss: 2.301734   Test Accuracy: 0.1135
[2026-05-20 14:16:28,863] Epoch 20 - Training loss: 2.301782   Test Accuracy: 0.1135
[2026-05-20 14:17:13,958] Epoch 21 - Training loss: 2.301819   Test Accuracy: 0.1135
[2026-05-20 14:18:00,665] Epoch 22 - Training loss: 2.301735   Test Accuracy: 0.1135
[2026-05-20 14:18:49,898] Epoch 23 - Training loss: 2.301776   Test Accuracy: 0.1135
[2026-05-20 14:19:33,243] Epoch 24 - Training loss: 2.301776   Test Accuracy: 0.1135
[2026-05-20 14:20:19,201] Epoch 25 - Training loss: 2.301744   Test Accuracy: 0.1135
[2026-05-20 14:21:08,399] Epoch 26 - Training loss: 2.301752   Test Accuracy: 0.1135
[2026-05-20 14:21:53,924] Epoch 27 - Training loss: 2.301684   Test Accuracy: 0.1010
[2026-05-20 14:22:40,047] Epoch 28 - Training loss: 2.301759   Test Accuracy: 0.1135
[2026-05-20 14:23:32,598] Epoch 29 - Training loss: 2.301835   Test Accuracy: 0.1135
[2026-05-20 14:24:27,921] Epoch 30 - Training loss: 2.301778   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING Analog SGD --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=8.0-state=140/Analog SGD-tau=0.7/events.out.tfevents.1779253209.user.2312945.0

Training Time (s) = 1456.2467868328094
