# CMD: CUDA_VISIBLE_DEVICES=3 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=2 python NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING TT-v1 --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
[2026-05-20 18:22:05,621] Epoch 0 - Training loss: --------   Test Accuracy: 0.1011
[2026-05-20 18:22:59,292] Epoch 1 - Training loss: 2.302936   Test Accuracy: 0.1142
[2026-05-20 18:23:54,329] Epoch 2 - Training loss: 2.302622   Test Accuracy: 0.1113
[2026-05-20 18:24:44,259] Epoch 3 - Training loss: 2.302509   Test Accuracy: 0.1135
[2026-05-20 18:25:31,966] Epoch 4 - Training loss: 2.302307   Test Accuracy: 0.1116
[2026-05-20 18:26:22,815] Epoch 5 - Training loss: 2.302393   Test Accuracy: 0.1107
[2026-05-20 18:27:15,666] Epoch 6 - Training loss: 2.302470   Test Accuracy: 0.1136
[2026-05-20 18:28:06,975] Epoch 7 - Training loss: 2.302280   Test Accuracy: 0.1135
[2026-05-20 18:29:02,911] Epoch 8 - Training loss: 2.302396   Test Accuracy: 0.1135
[2026-05-20 18:29:54,309] Epoch 9 - Training loss: 2.302473   Test Accuracy: 0.1135
[2026-05-20 18:30:48,108] Epoch 10 - Training loss: 2.302436   Test Accuracy: 0.1135
[2026-05-20 18:31:40,690] Epoch 11 - Training loss: 2.302440   Test Accuracy: 0.1135
[2026-05-20 18:32:33,602] Epoch 12 - Training loss: 2.302422   Test Accuracy: 0.1135
[2026-05-20 18:33:25,361] Epoch 13 - Training loss: 2.302323   Test Accuracy: 0.1135
[2026-05-20 18:34:14,742] Epoch 14 - Training loss: 2.302309   Test Accuracy: 0.1135
[2026-05-20 18:35:07,108] Epoch 15 - Training loss: 2.302340   Test Accuracy: 0.1010
[2026-05-20 18:35:59,623] Epoch 16 - Training loss: 2.301805   Test Accuracy: 0.1028
[2026-05-20 18:36:51,302] Epoch 17 - Training loss: 2.301781   Test Accuracy: 0.1135
[2026-05-20 18:37:40,667] Epoch 18 - Training loss: 2.301831   Test Accuracy: 0.1135
[2026-05-20 18:38:30,117] Epoch 19 - Training loss: 2.301858   Test Accuracy: 0.1135
[2026-05-20 18:39:17,317] Epoch 20 - Training loss: 2.301794   Test Accuracy: 0.1135
[2026-05-20 18:40:03,930] Epoch 21 - Training loss: 2.301672   Test Accuracy: 0.1135
[2026-05-20 18:40:51,503] Epoch 22 - Training loss: 2.301777   Test Accuracy: 0.1028
[2026-05-20 18:41:43,638] Epoch 23 - Training loss: 2.301760   Test Accuracy: 0.1135
[2026-05-20 18:42:32,325] Epoch 24 - Training loss: 2.301803   Test Accuracy: 0.1135
[2026-05-20 18:43:23,073] Epoch 25 - Training loss: 2.301767   Test Accuracy: 0.1125
[2026-05-20 18:44:14,642] Epoch 26 - Training loss: 2.301821   Test Accuracy: 0.1135
[2026-05-20 18:45:07,552] Epoch 27 - Training loss: 2.301752   Test Accuracy: 0.1135
[2026-05-20 18:46:00,644] Epoch 28 - Training loss: 2.301768   Test Accuracy: 0.1135
[2026-05-20 18:46:51,322] Epoch 29 - Training loss: 2.301814   Test Accuracy: 0.1135
[2026-05-20 18:47:39,906] Epoch 30 - Training loss: 2.301825   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-FCN.py --CUDA 0 --SETTING TT-v1 --RPU Pow --tau 0.7 --res-gamma 8.0 --res-state 140
Using Device:  cuda:0
Logging to file: runs/MNIST-FCN/Pow-gamma=8.0-state=140/TT-v1-tau=0.7/events.out.tfevents.1779268919.user.2340237.0

Training Time (s) = 1537.8754000663757
