# CMD: CUDA_VISIBLE_DEVICES=2 PYTHONPATH=/home/bong/analog_stress_test/analog-training SEED=2 python NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU HfO2
[2026-05-25 16:16:10,363] Epoch 0 - Training loss: --------   Test Accuracy: 0.1178
[2026-05-25 16:17:19,871] Epoch 1 - Training loss: 2.310040   Test Accuracy: 0.0769
[2026-05-25 16:18:28,807] Epoch 2 - Training loss: 2.322410   Test Accuracy: 0.1135
[2026-05-25 16:19:40,007] Epoch 3 - Training loss: 2.325670   Test Accuracy: 0.1032
[2026-05-25 16:20:48,886] Epoch 4 - Training loss: 2.376771   Test Accuracy: 0.1028
[2026-05-25 16:21:59,712] Epoch 5 - Training loss: 2.377300   Test Accuracy: 0.1135
[2026-05-25 16:23:13,517] Epoch 6 - Training loss: 2.387974   Test Accuracy: 0.1135
[2026-05-25 16:24:27,881] Epoch 7 - Training loss: 2.386220   Test Accuracy: 0.0980
[2026-05-25 16:25:33,229] Epoch 8 - Training loss: 2.382904   Test Accuracy: 0.1135
[2026-05-25 16:26:40,681] Epoch 9 - Training loss: 2.381817   Test Accuracy: 0.1135
[2026-05-25 16:27:44,474] Epoch 10 - Training loss: 2.408604   Test Accuracy: 0.0980
[2026-05-25 16:28:53,767] Epoch 11 - Training loss: 2.394449   Test Accuracy: 0.0892
[2026-05-25 16:29:59,980] Epoch 12 - Training loss: 2.383897   Test Accuracy: 0.1034
[2026-05-25 16:31:09,862] Epoch 13 - Training loss: 2.385057   Test Accuracy: 0.1009
[2026-05-25 16:32:26,791] Epoch 14 - Training loss: 2.406933   Test Accuracy: 0.0897
[2026-05-25 16:33:35,434] Epoch 15 - Training loss: 2.381683   Test Accuracy: 0.0958
[2026-05-25 16:34:46,765] Epoch 16 - Training loss: 2.415778   Test Accuracy: 0.1135
[2026-05-25 16:35:58,222] Epoch 17 - Training loss: 2.382942   Test Accuracy: 0.1010
[2026-05-25 16:37:05,555] Epoch 18 - Training loss: 2.399772   Test Accuracy: 0.1135
[2026-05-25 16:38:16,813] Epoch 19 - Training loss: 2.372508   Test Accuracy: 0.1135
[2026-05-25 16:39:28,194] Epoch 20 - Training loss: 2.351606   Test Accuracy: 0.1010
[2026-05-25 16:40:31,871] Epoch 21 - Training loss: 2.389401   Test Accuracy: 0.1135
[2026-05-25 16:41:39,728] Epoch 22 - Training loss: 2.374426   Test Accuracy: 0.0982
[2026-05-25 16:42:50,984] Epoch 23 - Training loss: 2.384063   Test Accuracy: 0.1032
[2026-05-25 16:44:08,625] Epoch 24 - Training loss: 2.403855   Test Accuracy: 0.0974
[2026-05-25 16:45:17,746] Epoch 25 - Training loss: 2.375235   Test Accuracy: 0.1009
[2026-05-25 16:46:25,419] Epoch 26 - Training loss: 2.396323   Test Accuracy: 0.1032
[2026-05-25 16:47:36,312] Epoch 27 - Training loss: 2.386781   Test Accuracy: 0.1135
[2026-05-25 16:48:44,133] Epoch 28 - Training loss: 2.397853   Test Accuracy: 0.0982
[2026-05-25 16:49:53,749] Epoch 29 - Training loss: 2.378913   Test Accuracy: 0.0940
[2026-05-25 16:51:06,611] Epoch 30 - Training loss: 2.373175   Test Accuracy: 0.1135
aihwkit path:  /home/bong/analog_stress_test/aihwkit-fork/src/aihwkit/__init__.py
NeurIPS-2025/S2-mnist-CNN.py --CUDA 0 --SETTING Analog SGD --RPU HfO2
Using Device:  cuda:0
Logging to file: runs/MNIST-CNN/HfO2/Analog SGD-tau=1/events.out.tfevents.1779693363.user.616579.0

Training Time (s) = 2100.4687299728394
